"Dummy ID","Legacy"
"3.036548E7","O"
"3.0234674E7","S"
"3.0359045E7","S"
"3.0165332E7","B"
"3.0220946E7","M"
"3.0168387E7","F"
"3.0297152E7","O"
"3.0370888E7","O"
"3.0345083E7","M"
"3.0221804E7","O"
"3.0151123E7","A"
"3.0308852E7","O"
"3.0173392E7","D"
"3.0272699E7","O"
"3.0206724E7","S"
"3.0278861E7","S"
"3.029515E7","S"
"2.997366E7","O"
"3.012095E7","B"
"3.0195401E7","B"
"3.0137382E7","O"
"3.041098E7","F"
"2.8740077E7","M"
"2.9963663E7","S"
"3.043984E7","O"
"3.0330978E7","S"
"3.0344394E7","S"
"2.9945164E7","S"
"3.0105584E7","M"
"2.9964339E7","S"
"3.041891E7","F"
"3.0138955E7","S"
"3.0216825E7","O"
"3.021377E7","O"
"3.0356523E7","A"
"3.0263391E7","S"
"3.0106273E7","S"
"3.0089789E7","S"
"3.016372E7","O"
"3.0276781E7","D"
"3.0119039E7","B"
"3.0139774E7","O"
"2.9966679E7","F"
"2.936786E7","D"
"3.0144077E7","M"
"3.0159976E7","M"
"3.0187796E7","B"
"3.0290457E7","O"
"3.0159911E7","O"
"3.0144935E7","S"
"3.0354391E7","B"
"3.0113735E7","B"
"2.8741156E7","S"
"3.0195167E7","M"
"3.0091726E7","A"
"3.0308384E7","F"
"3.0328183E7","A"
"3.0165696E7","O"
"3.0154308E7","O"
"3.0241681E7","M"
"3.0287194E7","F"
"2.9361698E7","B"
"3.0189993E7","B"
"3.0203058E7","O"
"3.0109159E7","M"
"3.0273401E7","B"
"2.9957072E7","O"
"3.0214043E7","A"
"3.0221544E7","S"
"3.0202837E7","O"
"3.0297061E7","M"
"2.971561E7","O"
"3.0404688E7","O"
"3.0152878E7","S"
"3.0160392E7","M"
"3.0218814E7","O"
"3.0176486E7","S"
"3.0316938E7","S"
"3.0355184E7","B"
"3.009508E7","M"
"3.0287831E7","S"
"3.0116439E7","O"
"2.9962051E7","F"
"3.0327988E7","O"
"3.0141555E7","S"
"3.0206386E7","O"
"3.0113501E7","O"
"3.0125214E7","S"
"2.9966653E7","S"
"3.0288936E7","A"
"3.0242357E7","S"
"3.0182271E7","O"
"3.0340897E7","B"
"3.0105285E7","A"
"3.0160028E7","F"
"2.9356667E7","S"
"3.0138994E7","S"
"2.9977326E7","S"
"3.0273297E7","O"
"3.0120235E7","O"
"3.0175732E7","F"
"3.0235844E7","O"
"3.0348814E7","F"
"2.9336088E7","A"
"3.0189356E7","O"
"3.0233283E7","S"
"3.0352584E7","F"
"3.0211612E7","F"
"3.0105129E7","B"
"3.0210962E7","O"
"3.0184312E7","O"
"2.9347905E7","M"
"3.016411E7","D"
"3.0277418E7","B"
"3.0092974E7","S"
"3.0150265E7","S"
"3.0145676E7","O"
"3.0084225E7","O"
"3.0298868E7","B"
"3.0404103E7","B"
"3.0100956E7","O"
"3.0147795E7","B"
"3.018907E7","O"
"3.0185612E7","S"
"3.0325154E7","O"
"3.0153372E7","F"
"3.0150343E7","F"
"3.0221401E7","O"
"3.0200783E7","O"
"3.0283463E7","O"
"3.0190552E7","F"
"3.0357745E7","O"
"3.0371772E7","A"
"3.0077244E7","O"
"3.0182973E7","S"
"3.0295293E7","S"
"3.0094885E7","F"
"3.03088E7","O"
"3.010613E7","O"
"2.9970085E7","D"
"3.014747E7","M"
"3.0226068E7","F"
"3.0335099E7","B"
"3.0102191E7","O"
"3.0144701E7","O"
"3.0229799E7","O"
"3.0124083E7","B"
"3.0078739E7","S"
"3.0177942E7","M"
"3.0151279E7","D"
"3.0081014E7","O"
"3.0260375E7","O"
"3.031933E7","S"
"3.0155725E7","D"
"3.0128737E7","O"
"3.0194231E7","O"
"3.0108548E7","F"
"3.0309723E7","S"
"3.0264184E7","F"
"3.0088242E7","S"
"3.0122003E7","O"
"3.0357199E7","O"
"3.0177266E7","M"
"3.0327585E7","S"
"3.0178579E7","S"
"3.0127645E7","M"
"3.0206178E7","O"
"3.0214771E7","S"
"3.0240251E7","M"
"3.0392676E7","S"
"3.0295761E7","O"
"3.0216383E7","D"
"3.0158936E7","A"
"3.0297711E7","S"
"3.0287402E7","A"
"3.036834E7","B"
"3.032479E7","F"
"3.0403856E7","O"
"3.0136797E7","O"
"3.0374567E7","S"
"3.0149888E7","B"
"3.013629E7","C"
"3.020402E7","O"
"3.0144064E7","F"
"3.0171585E7","M"
"3.0292225E7","O"
"3.0248194E7","S"
"3.0231203E7","S"
"3.0179242E7","S"
"3.00761E7","S"
"3.0254785E7","B"
"3.0394626E7","O"
"3.0293655E7","F"
"3.0355587E7","S"
"3.0265562E7","M"
"3.0272569E7","B"
"3.0260921E7","S"
"3.0305472E7","F"
"3.0084706E7","C"
"3.0202876E7","F"
"3.0287922E7","C"
"3.0089191E7","S"
"3.0300948E7","F"
"3.0343003E7","S"
"3.0343003E7","S"
"3.0301182E7","S"
"3.0346175E7","O"
"3.0162264E7","S"
"3.0301195E7","O"
"3.0378207E7","O"
"3.0319031E7","O"
"3.009079E7","S"
"3.0183051E7","O"
"3.0358577E7","M"
"3.0253914E7","D"
"3.0233855E7","D"
