"Dummy ID","Gender","Minority Status","Residency","State","County Description","Zip 3","Nation Description","Residence Hall","Division","Cognate Area"
"3.0135159E7","F","Domestic Nonminority","N","NJ","Bergen County^ NJ","070","","Y","AS","University Studies"
"3.0493972E7","M","International","I","","","","China","Y","AP",""
"3.050367E7","F","International","I","","","","China","Y","AS","University Studies"
"3.0430025E7","F","International","I","","","","China","Y","BU",""
"3.0471326E7","M","International","I","","","","China","Y","BU",""
"3.019999E7","M","Domestic Minority","R","OH","Lucas County^ OH","436","","Y","AS","Social Sciences"
"3.0478827E7","M","Domestic Minority","N","","","100","Vietnam","Y","AP",""
"3.0479854E7","M","International","I","","","","Georgia","Y","AS","Natural Sciences"
"3.0302703E7","F","Domestic Nonminority","R","OH","Summit County^ OH","442","","Y","AS","Social Sciences"
"3.0224144E7","F","Domestic Nonminority","R","OH","Montgomery County^ OH","453","","Y","AS","University Studies"
"3.0083146E7","M","Domestic Nonminority","R","OH","Ashtabula County^ OH","440","","Y","EA",""
"3.0516995E7","F","International","I","","","","China","Y","AS","University Studies"
"3.0300688E7","F","Domestic Nonminority","N","IL","Cook County^ IL","601","","Y","AS","Natural Sciences"
"3.0328573E7","F","Domestic Nonminority","R","OH","Butler County^ OH","450","","","FA",""
"3.0366702E7","M","Domestic Nonminority","N","MA","Plymouth County^ MA","023","","","AP",""
"3.0443961E7","M","International","I","","","","Vietnam","Y","AP",""
"3.0172092E7","M","Domestic Nonminority","R","OH","Warren County^ OH","450","","Y","FA",""
"3.0344797E7","M","Domestic Nonminority","N","MA","Norfolk County^ MA","024","","Y","AS","University Studies"
"3.036964E7","F","Domestic Nonminority","N","MO","Saint Louis County^ MO","631","","Y","EA",""
"3.0292498E7","M","Domestic Minority","N","CT","Hartford County^ CT","060","","Y","EA",""
"3.0364765E7","M","Domestic Nonminority","R","OH","Clermont County^ OH","451","","Y","FA",""
"3.0110576E7","M","Domestic Nonminority","R","OH","Summit County^ OH","442","","Y","BU",""
"3.0280785E7","F","Domestic Minority","N","IL","Cook County^ IL","600","","Y","EA",""
"3.021195E7","F","Domestic Nonminority","R","OH","Lucas County^ OH","436","","Y","AP",""
"3.0204072E7","F","Domestic Nonminority","N","IL","Du Page County^ IL","601","","Y","AS","Natural Sciences"
